shift,rep,detector,total_detections,false_alarms,post_drift_detections,false_alarm_rate,first_post_drift_detection,detection_delay,detected,calibration_threshold
title,48,Page-Hinkley,0,0,0,0.0,,,False,
title,48,Boundary-Aware,15,2,13,0.038461538461538464,1375.0,0.0,True,2.2471581750833676
title,49,ADWIN,0,0,0,0.0,,,False,
title,49,Page-Hinkley,0,0,0,0.0,,,False,
title,49,Boundary-Aware,29,6,23,0.11538461538461539,1375.0,0.0,True,2.8899323887562316
title,50,ADWIN,0,0,0,0.0,,,False,
title,50,Page-Hinkley,0,0,0,0.0,,,False,
title,50,Boundary-Aware,15,3,12,0.057692307692307696,1400.0,25.0,True,1.9136282813961143
title,51,ADWIN,0,0,0,0.0,,,False,
title,51,Page-Hinkley,0,0,0,0.0,,,False,
title,51,Boundary-Aware,20,2,18,0.038461538461538464,1400.0,25.0,True,2.017295328907342
title,52,ADWIN,0,0,0,0.0,,,False,
title,52,Page-Hinkley,0,0,0,0.0,,,False,
title,52,Boundary-Aware,25,3,22,0.057692307692307696,1375.0,0.0,True,2.0071184345156654
title,53,ADWIN,0,0,0,0.0,,,False,
title,53,Page-Hinkley,0,0,0,0.0,,,False,
title,53,Boundary-Aware,6,1,5,0.019230769230769232,1475.0,100.0,True,2.810014462760764
title,54,ADWIN,0,0,0,0.0,,,False,
title,54,Page-Hinkley,0,0,0,0.0,,,False,
title,54,Boundary-Aware,3,2,1,0.038461538461538464,1575.0,200.0,True,2.1412199080416725
title,55,ADWIN,0,0,0,0.0,,,False,
title,55,Page-Hinkley,0,0,0,0.0,,,False,
title,55,Boundary-Aware,22,1,21,0.019230769230769232,1450.0,75.0,True,1.9846149932074628
title,56,ADWIN,0,0,0,0.0,,,False,
title,56,Page-Hinkley,0,0,0,0.0,,,False,
title,56,Boundary-Aware,4,1,3,0.019230769230769232,1425.0,50.0,True,3.1443374223103824
title,57,ADWIN,0,0,0,0.0,,,False,
title,57,Page-Hinkley,0,0,0,0.0,,,False,
title,57,Boundary-Aware,33,6,27,0.11538461538461539,1375.0,0.0,True,2.4929775867739377
title,58,ADWIN,0,0,0,0.0,,,False,
title,58,Page-Hinkley,0,0,0,0.0,,,False,
title,58,Boundary-Aware,7,2,5,0.038461538461538464,1375.0,0.0,True,1.984459879335849
title,59,ADWIN,0,0,0,0.0,,,False,
title,59,Page-Hinkley,0,0,0,0.0,,,False,
title,59,Boundary-Aware,36,10,26,0.19230769230769232,1375.0,0.0,True,1.6572113954188412
title,60,ADWIN,0,0,0,0.0,,,False,
title,60,Page-Hinkley,0,0,0,0.0,,,False,
title,60,Boundary-Aware,25,1,24,0.019230769230769232,1400.0,25.0,True,1.9480822233527078
title,61,ADWIN,0,0,0,0.0,,,False,
title,61,Page-Hinkley,0,0,0,0.0,,,False,
title,61,Boundary-Aware,12,4,8,0.07692307692307693,1375.0,0.0,True,2.7299007046366337
title,62,ADWIN,0,0,0,0.0,,,False,
title,62,Page-Hinkley,0,0,0,0.0,,,False,
title,62,Boundary-Aware,32,3,29,0.057692307692307696,1375.0,0.0,True,1.8966371960084216
title,63,ADWIN,0,0,0,0.0,,,False,
title,63,Page-Hinkley,0,0,0,0.0,,,False,
title,63,Boundary-Aware,26,4,22,0.07692307692307693,1375.0,0.0,True,1.9670369844426758
title,64,ADWIN,0,0,0,0.0,,,False,
title,64,Page-Hinkley,0,0,0,0.0,,,False,
title,64,Boundary-Aware,15,5,10,0.09615384615384616,1650.0,275.0,True,2.625641565802553
title,65,ADWIN,0,0,0,0.0,,,False,
title,65,Page-Hinkley,0,0,0,0.0,,,False,
title,65,Boundary-Aware,30,3,27,0.057692307692307696,1400.0,25.0,True,1.8781451782339325
title,66,ADWIN,0,0,0,0.0,,,False,
title,66,Page-Hinkley,0,0,0,0.0,,,False,
title,66,Boundary-Aware,35,6,29,0.11538461538461539,1375.0,0.0,True,1.828957473985667
title,67,ADWIN,0,0,0,0.0,,,False,
title,67,Page-Hinkley,0,0,0,0.0,,,False,
title,67,Boundary-Aware,25,4,21,0.07692307692307693,1375.0,0.0,True,2.468966105088185
title,68,ADWIN,0,0,0,0.0,,,False,
title,68,Page-Hinkley,0,0,0,0.0,,,False,
title,68,Boundary-Aware,32,6,26,0.11538461538461539,1400.0,25.0,True,1.707373272129429
title,69,ADWIN,0,0,0,0.0,,,False,
title,69,Page-Hinkley,0,0,0,0.0,,,False,
title,69,Boundary-Aware,17,1,16,0.019230769230769232,1600.0,225.0,True,2.1568339064435493
title,70,ADWIN,0,0,0,0.0,,,False,
title,70,Page-Hinkley,0,0,0,0.0,,,False,
title,70,Boundary-Aware,32,7,25,0.1346153846153846,1375.0,0.0,True,1.962308100578112
title,71,ADWIN,0,0,0,0.0,,,False,
title,71,Page-Hinkley,0,0,0,0.0,,,False,
title,71,Boundary-Aware,21,3,18,0.057692307692307696,1375.0,0.0,True,2.214491168425128
title,72,ADWIN,0,0,0,0.0,,,False,
title,72,Page-Hinkley,0,0,0,0.0,,,False,
title,72,Boundary-Aware,16,3,13,0.057692307692307696,1375.0,0.0,True,2.5617970141820328
title,73,ADWIN,0,0,0,0.0,,,False,
title,73,Page-Hinkley,0,0,0,0.0,,,False,
title,73,Boundary-Aware,14,1,13,0.019230769230769232,1475.0,100.0,True,2.403835702306954
title,74,ADWIN,0,0,0,0.0,,,False,
title,74,Page-Hinkley,0,0,0,0.0,,,False,
title,74,Boundary-Aware,39,6,33,0.11538461538461539,1375.0,0.0,True,1.8984495470398326
title,75,ADWIN,0,0,0,0.0,,,False,
title,75,Page-Hinkley,0,0,0,0.0,,,False,
title,75,Boundary-Aware,26,3,23,0.057692307692307696,1375.0,0.0,True,1.7227777101207264
title,76,ADWIN,0,0,0,0.0,,,False,
title,76,Page-Hinkley,0,0,0,0.0,,,False,
title,76,Boundary-Aware,26,8,18,0.15384615384615385,1500.0,125.0,True,1.6750611321604192
title,77,ADWIN,0,0,0,0.0,,,False,
title,77,Page-Hinkley,0,0,0,0.0,,,False,
title,77,Boundary-Aware,17,2,15,0.038461538461538464,1375.0,0.0,True,2.485516334340507
title,78,ADWIN,0,0,0,0.0,,,False,
title,78,Page-Hinkley,0,0,0,0.0,,,False,
title,78,Boundary-Aware,24,2,22,0.038461538461538464,1500.0,125.0,True,2.314658479594536
title,79,ADWIN,0,0,0,0.0,,,False,
title,79,Page-Hinkley,0,0,0,0.0,,,False,
title,79,Boundary-Aware,15,1,14,0.019230769230769232,1375.0,0.0,True,2.2665159167180846
title,80,ADWIN,0,0,0,0.0,,,False,
title,80,Page-Hinkley,0,0,0,0.0,,,False,
title,80,Boundary-Aware,26,2,24,0.038461538461538464,1375.0,0.0,True,1.8577527967700567
title,81,ADWIN,0,0,0,0.0,,,False,
title,81,Page-Hinkley,0,0,0,0.0,,,False,
title,81,Boundary-Aware,14,2,12,0.038461538461538464,1500.0,125.0,True,2.1154719281186694
title,82,ADWIN,1,0,1,0.0,2207.0,832.0,True,
title,82,Page-Hinkley,0,0,0,0.0,,,False,
title,82,Boundary-Aware,29,3,26,0.057692307692307696,1525.0,150.0,True,1.9829603240070153
